Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
73,Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
74,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33,33,2970,33.0,1,0,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Matches
75,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12,12,1080,12.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
76,Allan,BRA,MF,Everton,Premier League,29,1991,24,23,2051,22.8,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
77,Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,15,7,620,6.9,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,1.4,1.4,0.9,2.3,0.2,0.13,0.33,0.2,0.33,Matches
78,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,Premier League,26,1994,34,28,2429,27.0,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,Matches
79,Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Matches
80,Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,1992,27,17,1568,17.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
81,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,23,22,1948,21.6,1,0,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
82,Bruno Alves,POR,DF,Parma,Serie A,38,1981,19,18,1632,18.1,1,0,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Matches
83,Steven Alzate,COL,"MF,DF",Brighton,Premier League,21,1998,15,10,896,10.0,1,0,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,Matches
84,Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,24,20,1504,16.7,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.3,2.4,0.12,0.02,0.14,0.12,0.14,Matches
85,Romain Amalfitano,FRA,"FW,DF",Dijon,Ligue 1,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.02,0.04,0.03,0.04,Matches
86,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,12,8,722,8.0,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,Matches
88,Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,13,10,813,9.0,1,0,1,0,0,3,1,0.11,0.0,0.11,0.11,0.11,0.2,0.2,0.3,0.5,0.02,0.03,0.06,0.02,0.06,Matches
89,Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,1997,23,5,753,8.4,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,1.4,1.4,1.5,2.9,0.17,0.18,0.35,0.17,0.35,Matches
