Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
190,Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37,3330,90,97.4,37.0,37,90,37,0,0,1,1.32,49,54,-5,-0.14,-3.14,44.9,56.1,-11.2,-0.3,-0.89,Matches
191,Tommaso Augello,ITA,DF,Sampdoria,Serie A,25,1994,37,3216,87,94.0,35.7,37,87,32,0,0,0,1.41,49,49,0,0.0,0.88,44.5,53.6,-9.0,-0.25,0.46,Matches
192,Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,1997,3,36,12,1.1,0.4,0,0,0,3,12,3,0.33,0,1,-1,-2.5,-2.31,0.2,0.3,-0.1,-0.22,-0.03,Matches
193,Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,26,1994,23,1957,85,64.0,21.7,21,89,17,2,45,1,0.83,21,34,-13,-0.6,0.05,21.3,33.6,-12.3,-0.56,-0.16,Matches
194,Serge Aurier,CIV,DF,Tottenham,Premier League,27,1992,19,1605,84,46.9,17.8,19,84,15,0,0,6,1.53,35,22,13,0.73,0.23,23.2,24.1,-0.9,-0.05,-0.35,Matches
195,Charlie Austin,ENG,FW,West Brom,Premier League,31,1989,5,138,28,4.0,1.5,0,0,0,5,28,3,0.4,2,5,-3,-1.96,-0.91,0.6,4.9,-4.3,-2.79,-1.98,Matches
196,Ezequiel Ávila,ARG,"MF,FW",Osasuna,La Liga,26,1994,8,202,25,5.9,2.2,2,63,0,6,13,2,1.38,3,1,2,0.89,1.25,3.0,2.7,0.3,0.14,0.53,Matches
197,Lorenzo Avogadri,ITA,GK,Sampdoria,Serie A,18,2001,0,0,0,0.0,0.0,0,0,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
198,Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,22,1997,21,1359,65,44.4,15.1,16,77,3,5,26,1,1.48,22,17,5,0.33,0.23,20.1,18.4,1.7,0.11,-0.03,Matches
199,Unai Ayala,ESP,GK,Eibar,La Liga,16,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
