Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
83,Steven Alzate,COL,"MF,DF",Brighton,Premier League,21,1998,10.0,1,7,2,28.6,0.7,0.2,0.14,0.5,17.2,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches
84,Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,16.7,0,15,5,33.3,0.9,0.3,0.0,0.0,19.0,0,0,0,2.1,2.1,0.14,-2.1,-2.1,Matches
85,Romain Amalfitano,FRA,"FW,DF",Dijon,Ligue 1,30,1989,1.3,0,2,0,0.0,1.55,0.0,0.0,0.0,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
86,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.0,10.8,0,0,0,0.4,0.4,0.13,0.6,0.6,Matches
88,Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,10.9,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
89,Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,1997,8.4,0,19,7,36.8,2.27,0.84,0.0,0.0,19.8,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
90,Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
91,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,21.0,2,43,14,32.6,2.05,0.67,0.05,0.14,23.5,3,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
92,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,Premier League,19,2000,23.2,0,7,2,28.6,0.3,0.09,0.0,0.0,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
93,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,27.1,0,9,3,33.3,0.33,0.11,0.0,0.0,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
94,Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
