Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2163,Predrag Rajković,SRB,GK,Reims,Ligue 1,24,1995,36.5,2,0,0,1,12,0,0,0,0,0,1,0,202,0,0,0.0,Matches
2164,Ivan Rakitić,CRO,MF,Sevilla,La Liga,32,1988,24.8,5,0,0,34,25,2,14,20,30,1,0,0,199,33,35,48.5,Matches
2165,Jonás Ramalho,ESP,DF,Osasuna,La Liga,27,1993,3.4,0,0,0,1,2,0,2,3,2,0,0,0,26,6,1,85.7,Matches
2166,Benito Raman,BEL,"FW,MF",Schalke 04,Bundesliga,25,1994,13.8,2,0,0,16,12,5,15,9,12,0,0,0,105,10,14,41.7,Matches
2167,Gastón Ramírez,URU,"MF,FW",Sampdoria,Serie A,29,1990,10.8,5,0,0,33,33,3,19,7,15,0,0,0,70,29,37,43.9,Matches
2168,Sandro Ramírez,ESP,"FW,MF",Huesca,La Liga,25,1995,14.3,2,0,0,18,51,11,18,15,11,0,0,0,73,10,26,27.8,Matches
2169,Sergio Ramos,ESP,DF,Real Madrid,La Liga,34,1986,14.2,3,0,0,17,6,2,5,16,12,1,1,0,153,29,22,56.9,Matches
2170,Aaron Ramsdale,ENG,GK,Sheffield Utd,Premier League,22,1998,38.0,1,0,0,1,5,0,0,0,0,0,1,0,183,0,0,0.0,Matches
2171,Aaron Ramsey,WAL,MF,Juventus,Serie A,29,1990,12.1,2,0,0,19,18,3,19,6,16,1,0,0,73,7,16,30.4,Matches
2172,Jacob Ramsey,ENG,MF,Aston Villa,Premier League,19,2001,7.0,0,0,0,13,11,2,7,6,7,0,0,0,54,5,17,22.7,Matches
2173,Kayne Ramsey,ENG,DF,Southampton,Premier League,19,2000,1.0,1,0,0,1,0,0,0,1,3,0,0,0,6,1,1,50.0,Matches
2174,Darren Randolph,IRL,GK,West Ham,Premier League,33,1987,3.0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0.0,Matches
2175,Andrea Ranocchia,ITA,DF,Inter,Serie A,32,1988,7.8,2,0,0,13,7,1,0,12,7,0,0,0,63,31,10,75.6,Matches
2176,Marcus Rashford,ENG,FW,Manchester Utd,Premier League,22,1997,32.4,4,0,0,25,42,27,43,10,10,2,0,0,142,23,22,51.1,Matches
2177,Milot Rashica,KVX,"FW,MF",Werder Bremen,Bundesliga,24,1996,16.2,0,0,0,15,21,4,41,9,10,0,1,0,93,10,36,21.7,Matches
2178,Giacomo Raspadori,ITA,"FW,MF",Sassuolo,Serie A,20,2000,13.7,1,0,0,9,23,4,11,3,2,4,0,0,35,1,9,10.0,Matches
2179,Federico Ravaglia,ITA,GK,Bologna,Serie A,20,1999,4.0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0.0,Matches
2180,Tim Ream,USA,DF,Fulham,Premier League,32,1987,7.0,0,0,0,3,0,0,0,4,4,0,0,0,63,11,9,55.0,Matches
2181,Ante Rebić,CRO,FW,Milan,Serie A,26,1993,19.7,4,1,0,33,15,11,50,11,18,3,0,0,90,22,44,33.3,Matches
2182,Arkadiusz Reca,POL,DF,Crotone,Serie A,25,1995,25.7,7,0,0,33,25,5,84,51,21,4,0,0,202,33,36,47.8,Matches
2183,Recio,ESP,MF,Eibar,La Liga,29,1991,8.2,5,0,0,18,19,0,20,4,9,0,0,0,72,8,14,36.4,Matches
2184,Daishawn Redan,NED,"FW,MF",Hertha BSC,Bundesliga,19,2001,1.1,0,0,0,2,2,0,3,2,0,0,0,0,8,0,5,0.0,Matches
2185,Nathan Redmond,ENG,"MF,FW",Southampton,Premier League,26,1994,19.3,1,0,0,30,15,4,34,18,17,0,1,0,121,11,37,22.9,Matches
2186,Harrison Reed,ENG,MF,Fulham,Premier League,25,1995,25.0,5,0,0,40,25,1,13,52,42,0,0,0,332,28,28,50.0,Matches
2187,Vasco Regini,ITA,DF,Sampdoria,Serie A,29,1990,1.0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,0,100.0,Matches
2188,Sergio Reguilón,ESP,DF,Tottenham,Premier League,23,1996,24.9,5,0,0,26,20,1,59,35,27,1,1,1,215,30,31,49.2,Matches
2189,Bobby Reid,JAM,"MF,DF",Fulham,Premier League,27,1993,26.4,7,0,0,37,22,4,35,17,20,1,0,0,157,26,41,38.8,Matches
2190,Pepe Reina,ESP,GK,Lazio,Serie A,37,1982,29.0,1,0,0,0,1,0,0,0,0,0,0,0,110,0,0,0.0,Matches
2191,Jeff Reine-Adélaïde,FRA,"MF,FW",Nice,Ligue 1,22,1998,11.8,1,0,0,6,21,3,10,8,5,1,0,0,77,5,10,33.3,Matches
2192,Jeff Reine-Adélaïde,FRA,FW,Lyon,Ligue 1,22,1998,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
2193,Reinier,BRA,"MF,FW",Dortmund,Bundesliga,18,2002,2.9,0,0,0,3,4,1,2,3,8,0,0,0,18,4,4,50.0,Matches
2194,Francisco Reis Ferreira,POR,DF,Valencia,La Liga,23,1997,2.0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,3,0.0,Matches
2195,Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,18,2002,0.7,1,0,0,2,1,0,0,1,1,0,0,0,15,0,0,0.0,Matches
2196,Karim Rekik,NED,DF,Sevilla,La Liga,25,1994,7.3,2,0,0,18,4,1,8,6,8,0,0,0,39,14,5,73.7,Matches
2197,Álex Remiro,ESP,GK,Real Sociedad,La Liga,25,1995,38.0,0,0,0,0,7,0,0,0,0,0,0,0,181,0,0,0.0,Matches
2198,Panagiotis Retsos,GRE,DF,Saint-Étienne,Ligue 1,21,1998,3.0,2,0,0,6,1,0,0,7,3,0,0,0,40,15,7,68.2,Matches
2199,Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,31,1989,25.3,1,0,0,28,34,10,56,10,29,3,0,0,151,14,29,32.6,Matches
2200,Elvis Rexhbeçaj,GER,"MF,FW",Köln,Bundesliga,22,1997,20.4,4,0,0,24,49,1,28,22,30,0,0,0,162,10,41,19.6,Matches
