Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
101,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0,Matches
102,Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,32.1,2042,2012,30,27,3,310,45,12,0,0,0,0,1491,286,265,250,1607,107,3,16,1737,5,36,42,40,Matches
103,Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,28.1,1460,1431,29,25,2,250,29,8,0,0,0,0,967,211,282,315,973,109,3,12,1155,9,29,36,38,Matches
104,Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,18.6,878,859,19,15,0,134,27,6,0,0,0,0,693,88,97,101,743,21,4,0,777,1,12,18,14,Matches
105,Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0,Matches
106,Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,1.5,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0,Matches
107,José Ángel,ESP,DF,Eibar,La Liga,30,1989,10.0,681,542,139,18,0,87,26,37,5,2,1,1,351,137,193,417,106,28,116,2,509,5,18,29,13,Matches
108,Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,24.0,1490,1203,287,46,4,163,52,112,48,18,18,1,775,279,436,1099,122,62,193,4,1059,9,25,31,61,Matches
109,Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
110,Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,1008,770,238,29,0,114,82,133,25,5,17,1,422,189,397,359,439,18,184,4,684,1,36,23,36,Matches
112,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,2073,1972,101,61,2,207,32,8,0,0,0,0,1660,157,256,356,1571,62,39,10,1827,5,26,27,28,Matches
113,José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,0.3,16,16,0,0,0,2,0,0,0,0,0,0,8,4,4,3,10,2,0,0,9,0,1,0,1,Matches
114,Michail Antonio,ENG,FW,West Ham,Premier League,30,1990,21.9,490,472,18,1,0,171,14,30,0,0,0,0,283,124,83,76,319,28,8,12,326,2,11,17,31,Matches
115,Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,119,107,12,6,0,5,7,0,0,0,0,0,97,9,13,18,93,2,6,0,106,0,3,1,1,Matches
116,Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,19.8,1009,969,40,10,4,130,17,20,12,4,1,0,860,94,55,103,883,12,7,0,852,4,12,38,31,Matches
117,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,19.2,827,691,136,48,7,132,61,44,76,26,36,4,526,91,210,115,667,16,6,12,594,1,18,31,24,Matches
118,Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,861,672,189,10,0,99,13,41,0,0,0,0,456,188,217,113,506,45,179,4,634,3,22,25,26,Matches
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1,Matches
120,Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,1076,951,125,55,1,164,98,50,67,32,11,10,547,138,391,89,852,85,1,4,754,6,36,18,25,Matches
121,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,1160,1114,46,38,4,166,26,2,0,0,0,0,870,133,157,147,946,47,8,4,1003,2,12,30,24,Matches
122,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,611,594,17,3,4,110,25,25,5,2,2,0,413,88,110,495,73,28,8,1,463,2,11,20,26,Matches
123,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,1555,1526,29,27,1,128,30,3,0,0,0,0,1192,131,232,169,1276,71,2,5,1321,2,26,25,18,Matches
124,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,1068,1032,36,26,1,95,13,0,0,0,0,0,921,59,88,102,896,26,9,5,987,1,9,8,7,Matches
125,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,1874,1600,274,83,2,231,150,30,3,1,2,0,955,350,569,417,1087,126,188,6,1444,2,72,28,30,Matches
126,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,1001,650,351,102,0,45,19,0,0,0,0,0,534,34,433,65,727,0,0,158,737,3,19,5,2,Matches
127,Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1.0,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1,Matches
128,Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,3.3,62,53,9,0,0,20,0,1,0,0,0,0,36,13,13,11,37,7,0,0,40,0,2,1,2,Matches
129,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,2,3,2,0,0,4,0,0,0,1,Matches
130,Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,0.1,4,4,0,0,0,1,0,1,0,0,0,0,2,1,1,2,2,0,0,0,3,1,0,0,0,Matches
131,Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,30.7,1258,1181,77,14,7,268,19,26,1,0,0,0,961,172,125,229,965,39,16,3,1002,2,12,44,65,Matches
132,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,28.7,1652,1393,259,142,6,255,121,33,107,51,39,0,1017,210,425,1215,317,72,9,6,1323,6,25,26,26,Matches
133,Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,1.2,36,34,2,0,0,14,1,0,0,0,0,0,16,13,7,4,18,5,0,2,27,0,0,1,1,Matches
134,Sergio Arribas,ESP,"FW,DF",Real Madrid,La Liga,18,2001,1.5,92,90,2,0,0,20,0,1,0,0,0,0,77,9,6,80,8,1,2,0,76,1,0,1,5,Matches
135,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,243,192,51,6,0,22,4,0,0,0,0,0,154,13,76,30,170,0,0,39,198,0,4,1,0,Matches
136,Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,20.2,901,859,42,36,1,131,31,9,3,1,2,0,691,98,112,96,755,32,3,2,761,5,7,26,16,Matches
137,Kwadwo Asamoah,GHA,"DF,MF",Cagliari,Serie A,31,1988,2.5,109,97,12,1,0,7,0,4,1,0,0,0,71,18,20,87,10,1,10,0,93,0,0,1,2,Matches
